Accession number,NorB,NosZ,norR,NarG,NarH,nirS,AMO,narJ,narl,nirC,nirB,NAP_E,NAP_D,NAP_A,NAP_B,nirK,qNOR,POD,num_contigs,assembly_level
GCA_000165835.1,4655801 - 4657288,4874843 - 4876759,1485793 - 1487316,3167205 - 3170945,3170942 - 3172507,,6981110 - 6982180,3172523 - 3173170,3173189 - 3173872,4148430 - 4148780,4145881 - 4148430,2595453 - 2595611,2595112 - 2595429,2592633 - 2595071,2592136 - 2592525,2531273 - 2532355,2526994 - 2529279,2647916 - 2648701,3,contig
GCA_001541435.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,26453 - 27487,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,26,contig
GCA_001566985.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,,180254 - 181276,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,120,contig
GCA_003293615.1,4944391 - 4945875,5104099 - 5106015,1307494 - 1309014,3624050 - 3627805,3622491 - 3624053,3824853 - 3825236,6272514 - 6273548,3621829 - 3622476,3621128 - 3621811,5681256 - 5681660,5681660 - 5684212,2711760 - 2711918,2711419 - 2711736,2708940 - 2711435,2708447 - 2708923,2246161 - 2247243,2241947 - 2244232,2741175 - 2741960,2,contig
GCA_003503255.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,77773 - 78843,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,134,contig
GCA_008631215.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,37924 - 38958,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,15,contig
GCA_014353695.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,29181 - 30251,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,107,contig
GCA_014490035.1,2403329 - 2404816,2179014 - 2180930,5305870 - 5307393,3681966 - 3685709,3680404 - 3681969,5460454 - 5462013,6732593 - 6733663,3679742 - 3680389,3679040 - 3679723,2842847 - 2843197,2843197 - 2845746,4233382 - 4233540,4233564 - 4233881,4233865 - 4236360,4236381 - 4236857,4300679 - 4301761,4303741 - 4306026,4181000 - 4181785,1,chromosome
GCA_014529725.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,29181 - 30251,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,85,contig
GCA_017745625.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,,128991 - 130049,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,60,contig
GCA_029837755.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,26559 - 27593,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,106,contig
GCA_032703345.1,5128939 - 5130423,4971385 - 4973301,1538707 - 1540227,3545897 - 3549652,3544338 - 3545900,3728498 - 3728881,6913318 - 6914352,3543676 - 3544323,3542975 - 3543658,5753592 - 5753996,5753996 - 5756548,2596297 - 2596461,,5756954 - 5761171,,2536118 - 2537200,2530492 - 2532777,2636428 - 2637213,1,chromosome
GCA_033096405.1,5303992 - 5305476,5152469 - 5154385,1706504 - 1708024,3652555 - 3656310,3650996 - 3652558,,7045949 - 7046980,3650334 - 3650981,3649633 - 3650316,5878086 - 5878490,5878490 - 5881042,2729996 - 2730154,2729655 - 2729996,2727176 - 2729671,2726683 - 2727159,2659378 - 2660460,2655159 - 2657444,2759708 - 2760493,1,chromosome
GCA_034078005.1,5221748 - 5223232,5061809 - 5063725,1629491 - 1631011,2729805 - 2732318,3630162 - 3631724,,6889000 - 6890034,3629500 - 3630147,3628799 - 3629482,5911190 - 5911594,5911594 - 5914146,2749357 - 2749515,2749016 - 2749333,2746537 - 2749032,2746044 - 2746520,2669604 - 2670686,2665390 - 2667675,2778473 - 2779258,1,chromosome
GCA_036527295.1,4876486 - 4877970,4726077 - 4727993,1438270 - 1439790,3372582 - 3376337,3371023 - 3372585,3556989 - 3557372,6432061 - 6433095,3370361 - 3371008,3369660 - 3370343,5444447 - 5444851,5444851 - 5447403,2472676 - 2472834,2472335 - 2472652,2469856 - 2472351,2469363 - 2469839,2381397 - 2382479,2377184 - 2379469,2500860 - 2501645,2,contig
GCA_039674625.1,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,26478 - 27512,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,Not in dnaA contig,80,contig
