Family,Gene
GCA_001957065.1_CDS_4902,['GCA_001957065.1_CDS_4902']
GCF_002192705.1_CDS_4320,['GCF_002192705.1_CDS_4320']
G1412_CDS_5669,['G1412_CDS_5669']
GCA_022488545.1_CDS_1523,['GCA_022488545.1_CDS_1523']
GCF_029837835.1_CDS_1497,"['GCA_013413495.1_CDS_5244', 'GCF_029837835.1_CDS_1497']"
GCF_002192695.1_CDS_6306,"['GCA_000165835.1_CDS_3981', 'GCF_002192695.1_CDS_6306', 'NJ7201_G1323_CDS_3571']"
GCA_032703345.1_CDS_3976,"['GCA_000165835.1_CDS_4264', 'GCA_001299295.1_CDS_4285', 'GCA_017745625.1_CDS_2342', 'GCA_017745625.1_CDS_4291', 'GCA_032703345.1_CDS_3976', 'GCA_033096405.1_CDS_5367', 'GCF_002192705.1_CDS_0610']"
GCA_017745625.1_CDS_3019,['GCA_017745625.1_CDS_3019']
NJ7201_G1323_CDS_3333,"['GCA_001566985.1_CDS_5022', 'GCA_027922385.1_CDS_0989', 'GCF_002192695.1_CDS_6209', 'GCF_009363015.1_CDS_5024', 'NJ7201_G1323_CDS_3333']"
NJ7201_G1323_CDS_3172,"['GCA_039674625.1_CDS_1709', 'NJ7201_G1323_CDS_3172']"
GCF_001654705.1_CDS_4475,"['GCA_001558755.2_CDS_0793', 'GCA_001654705.1_CDS_4335', 'GCF_001654705.1_CDS_4475']"
GCF_002192705.1_CDS_6360,"['GCA_000165835.1_CDS_1292', 'GCF_002192695.1_CDS_2835', 'GCF_002192705.1_CDS_6360']"
GCA_001807115.1_CDS_3486,"['GCA_001807115.1_CDS_3486', 'GCA_022488545.1_CDS_0730', 'GCA_034078005.1_CDS_1669', 'GCA_034424885.1_CDS_1063', 'GCA_034424905.1_CDS_1280', 'GCA_034424925.1_CDS_1036']"
G1413_CDS_6189,"['G1413_CDS_6189', 'PCF1_G1423_CDS_6141']"
AC5204_G1324_CDS_7691,['AC5204_G1324_CDS_7691']
NJ7201_G1323_CDS_3095,['NJ7201_G1323_CDS_3095']
GCA_013413495.1_CDS_5773,['GCA_013413495.1_CDS_5773']
GCA_003503255.1_CDS_2418,"['GCA_003503255.1_CDS_2418', 'GCA_014353695.1_CDS_4256', 'GCA_014490035.1_CDS_0575', 'GCA_014529725.1_CDS_5113', 'GCF_002192695.1_CDS_2538', 'GCF_002192705.1_CDS_5230']"
GCA_027529585.1_CDS_4484,"['GCA_016599195.1_CDS_3379', 'GCA_027529585.1_CDS_4484']"
PCF1_G1401_CDS_4168,['PCF1_G1401_CDS_4168']
GCA_001815425.1_CDS_4251,"['GCA_001815425.1_CDS_4251', 'GCA_001957055.1_CDS_4935', 'GCA_001957065.1_CDS_1896']"
G1414_CDS_2771,"['G1412_CDS_2834', 'G1414_CDS_2771', 'PCF1_G1387_CDS_1904', 'PCF1_G1388_CDS_1914', 'PCF1_G1401_CDS_2182', 'PCF1_G1417_CDS_5436', 'PCF1_G1418_CDS_5426']"
JMCD_G1432_CDS_4610,['JMCD_G1432_CDS_4610']
GCA_001457475.1_CDS_1153,"['GCA_000508285.1_CDS_1178', 'GCA_001457475.1_CDS_1153', 'GCA_013343135.1_CDS_4791', 'GCA_016027035.1_CDS_6050', 'GCA_022870085.1_CDS_4307']"
GCF_002192705.1_CDS_2954,"['GCA_000165835.1_CDS_5975', 'GCF_002192695.1_CDS_1435', 'GCF_002192705.1_CDS_2954']"
GCA_003503255.1_CDS_2030,"['GCA_000165835.1_CDS_6321', 'GCA_003503255.1_CDS_2030', 'GCA_014353695.1_CDS_1895', 'GCA_014490035.1_CDS_6040', 'GCA_014529725.1_CDS_3098', 'GCA_027922385.1_CDS_2140']"
GCF_003031105.1_CDS_5102,['GCF_003031105.1_CDS_5102']
GCA_025818255.1_CDS_3132,"['GCA_000186185.1_CDS_3903', 'GCA_025818255.1_CDS_3132', 'NJ7201_G1323_CDS_1441']"
GCA_038024235.1_CDS_0107,"['GCA_022488515.1_CDS_3316', 'GCA_038024235.1_CDS_0107']"
GCA_044069285.1_CDS_3693,"['GCA_027529585.1_CDS_1942', 'GCA_044069285.1_CDS_3693']"
GCF_002192695.1_CDS_5357,"['GCF_001541435.1_CDS_0971', 'GCF_002192695.1_CDS_5357']"
GCF_002192705.1_CDS_2789,['GCF_002192705.1_CDS_2789']
NJ7201_G1323_CDS_1764,"['GCA_000186185.1_CDS_3892', 'GCA_016403305.1_CDS_1828', 'GCA_016728825.1_CDS_4781', 'GCA_029837755.1_CDS_4841', 'GCA_034078005.1_CDS_2611', 'GCA_034078005.1_CDS_4747', 'GCA_034078005.1_CDS_6199', 'GCF_029837835.1_CDS_5367', 'NJ7201_G1323_CDS_1764']"
GCA_001558915.2_CDS_1937,['GCA_001558915.2_CDS_1937']
