,NorB,NosZ,norR,NarG,NarH,nirS,AMO,narJ,narl,nirC,nirB,NAP_E,NAP_D,NAP_A,NAP_B,nirK,qNOR,POD,Whole_genome_GC_content
GCA_000165835.1,0.617607527,0.640584246,0.697506562,0.651430099,0.644316731,,0.643323996,0.669753086,0.652046784,0.703703704,0.684705882,0.603773585,0.663522013,0.634276343,0.646153846,0.659279778,0.666229221,0.678117048,0.66
GCA_001541435.1,0.626936027,0.655190402,0.717291256,0.663471778,0.660268714,0.611979167,0.669565217,0.705246914,0.66374269,0.708641975,0.705052879,0.559748428,0.688679245,0.652644231,0.656184486,0.666666667,0.676290464,0.702290076,0.68
GCA_001566985.1,0.614919355,0.635367762,0.698039216,0.646100427,0.630906769,,0.637341153,0.668209877,0.634502924,0.672364672,0.676034348,,0.679245283,0.639423077,0.651991614,0.626962142,0.653105862,0.648786718,0.66
GCA_003293615.1,0.627371274,0.65571205,0.720578567,0.663738019,0.660268714,0.614583333,0.670531401,0.706790123,0.668128655,0.708641975,0.705052879,0.559748428,0.688679245,0.652644231,0.656184486,0.666666667,0.676727909,0.697201018,0.68
GCA_003503255.1,0.622983871,0.641627543,0.706036745,0.651976496,0.641762452,0.644871795,0.630252101,0.668209877,0.649122807,0.680911681,0.684313725,0.591194969,0.666666667,0.639022436,0.658280922,0.643582641,0.667104112,0.669211196,0.66
GCA_008631215.1,0.625589226,0.654668753,0.720578567,0.665069223,0.660268714,0.614583333,0.671497585,0.708333333,0.666666667,0.703703704,0.702702703,0.566037736,0.688679245,0.651842949,0.65408805,0.667590028,0.67847769,0.707379135,0.68
GCA_014353695.1,0.622983871,0.641627543,0.706036745,0.651976496,0.641762452,0.644871795,0.630252101,0.668209877,0.649122807,0.680911681,0.684313725,0.591194969,0.666666667,0.639022436,0.658280922,0.643582641,0.667104112,0.669211196,0.66
GCA_014490035.1,0.622983871,0.641627543,0.706036745,0.651976496,0.641762452,0.644871795,0.630252101,0.668209877,0.649122807,0.680911681,0.684313725,0.591194969,0.666666667,0.639022436,0.658280922,0.643582641,0.667104112,0.669211196,0.66
GCA_014529725.1,0.622983871,0.641627543,0.706036745,0.651976496,0.641762452,0.644871795,0.630252101,0.668209877,0.649122807,0.680911681,0.684313725,0.591194969,0.666666667,0.639022436,0.658280922,0.643582641,0.667104112,0.669211196,0.66
GCA_017745625.1,0.634408602,0.651515152,0.722765819,0.667735043,0.652007648,,0.695939566,0.68847352,0.659356725,0.715099715,0.705490196,0.603773585,0.65408805,0.651442308,0.660377358,0.662049861,0.673665792,0.685823755,0.68
GCA_029837755.1,0.607611549,0.655190402,0.717291256,0.664270501,0.661548305,0.606770833,0.671497585,0.706790123,0.668128655,0.716049383,0.703486095,0.566037736,0.688679245,0.65224359,0.65408805,0.665743306,0.676727909,0.70610687,0.67
GCA_032703345.1,0.628956229,0.655190402,0.720578567,0.664536741,0.659628919,0.619791667,0.672463768,0.706790123,0.67251462,0.701234568,0.704269487,0.563636364,,0.714556662,,0.670360111,0.676727909,0.704834606,0.67
GCA_033096405.1,0.627609428,0.65258216,0.719263642,0.66400426,0.657069738,,0.669573643,0.700617284,0.666666667,0.718518519,0.705052879,0.566037736,0.684210526,0.65224359,0.658280922,0.662049861,0.679790026,0.699745547,0.67
GCA_034078005.1,0.626936027,0.65571205,0.71860618,0.651551313,0.658349328,,0.670531401,0.706790123,0.669590643,0.716049383,0.705052879,0.566037736,0.688679245,0.653846154,0.656184486,0.664819945,0.676290464,0.701017812,0.68
GCA_036527295.1,0.626936027,0.654668753,0.719921105,0.662140575,0.658989123,0.609375,0.670531401,0.708333333,0.665204678,0.716049383,0.706227967,0.559748428,0.685534591,0.651442308,0.656184486,0.671283472,0.676727909,0.704834606,0.68
GCA_039674625.1,0.626936027,0.651936716,0.720578567,0.663205538,0.660908509,0.611979167,0.670531401,0.709876543,0.668128655,0.713580247,0.705052879,0.559748428,0.685534591,0.651842949,0.656184486,0.665743306,0.674978128,0.703562341,0.68
GCA_040438975.1,0.626262626,0.653625456,0.721893491,0.663471778,0.660268714,0.611979167,0.671497585,0.703703704,0.666666667,0.713580247,0.704661183,0.566037736,0.688679245,0.65224359,0.65408805,0.666666667,0.677165354,0.703562341,0.67
GCA_042235685.1,0.626936027,0.654668753,0.719921105,0.662140575,0.658989123,0.609375,0.670531401,0.708333333,0.665204678,0.716049383,0.706227967,0.559748428,0.685534591,0.651442308,0.656184486,0.671283472,0.676727909,0.704834606,0.68
GCA_900009115.1,0.627609428,0.654668753,0.719263642,0.663738019,0.660908509,0.609375,0.670531401,0.708333333,0.668128655,0.70617284,0.707011359,0.559748428,0.687134503,0.653044872,0.656184486,0.666666667,0.6776028,0.703562341,0.67
GCF_001541435.1,0.626936027,0.655190402,0.717291256,0.663471778,0.660268714,0.611979167,0.669565217,0.705246914,0.66374269,0.708641975,0.705052879,0.559748428,0.688679245,0.652644231,0.656184486,0.666666667,0.676290464,0.702290076,0.68
